M,N,perFactorN,K,c,rho,mode,nonLoaderFrac,retention,R,rec85,rec90,rec95,rec90_lo,rec90_hi,meanEstK
20,12,4,3,0.4,0,forced,0,oracle,500,0.014,0.000,0.000,0.000,0.008,3.00
20,12,4,3,0.4,0,forced,0,pa,500,0.006,0.000,0.000,0.000,0.008,1.68
20,12,4,3,0.4,0.4,forced,0,oracle,500,0.008,0.000,0.000,0.000,0.008,3.00
20,12,4,3,0.4,0.4,forced,0,pa,500,0.004,0.000,0.000,0.000,0.008,1.43
20,12,4,3,0.6,0,forced,0,oracle,500,0.858,0.298,0.000,0.260,0.340,3.00
20,12,4,3,0.6,0,forced,0,pa,500,0.484,0.202,0.000,0.169,0.239,2.51
20,12,4,3,0.6,0.4,forced,0,oracle,500,0.770,0.262,0.000,0.225,0.302,3.00
20,12,4,3,0.6,0.4,forced,0,pa,500,0.132,0.064,0.000,0.046,0.089,1.80
20,12,4,3,0.8,0,forced,0,oracle,500,1.000,1.000,0.686,0.992,1.000,3.00
20,12,4,3,0.8,0,forced,0,pa,500,0.770,0.770,0.562,0.731,0.805,2.76
20,12,4,3,0.8,0.4,forced,0,oracle,500,1.000,0.998,0.654,0.989,1.000,3.00
20,12,4,3,0.8,0.4,forced,0,pa,500,0.248,0.248,0.156,0.212,0.288,2.00
20,12,4,3,0.4,0,free,0,oracle,500,0.010,0.000,0.000,0.000,0.008,3.00
20,12,4,3,0.4,0,free,0,pa,500,0.008,0.000,0.000,0.000,0.008,1.83
20,12,4,3,0.4,0.4,free,0,oracle,500,0.018,0.000,0.000,0.000,0.008,3.00
20,12,4,3,0.4,0.4,free,0,pa,500,0.004,0.000,0.000,0.000,0.008,1.53
20,12,4,3,0.6,0,free,0,oracle,500,0.758,0.188,0.000,0.156,0.225,3.00
20,12,4,3,0.6,0,free,0,pa,500,0.426,0.118,0.000,0.093,0.149,2.48
20,12,4,3,0.6,0.4,free,0,oracle,500,0.702,0.186,0.000,0.154,0.222,3.00
20,12,4,3,0.6,0.4,free,0,pa,500,0.114,0.030,0.000,0.018,0.049,1.85
20,12,4,3,0.8,0,free,0,oracle,500,1.000,0.988,0.360,0.974,0.994,3.00
20,12,4,3,0.8,0,free,0,pa,500,0.750,0.744,0.282,0.704,0.780,2.75
20,12,4,3,0.8,0.4,free,0,oracle,500,0.998,0.986,0.342,0.971,0.993,3.00
20,12,4,3,0.8,0.4,free,0,pa,500,0.260,0.254,0.088,0.218,0.294,2.07
20,15,4,3,0.4,0,forced,0.2,oracle,500,0.010,0.000,0.000,0.000,0.008,3.00
20,15,4,3,0.4,0,forced,0.2,pa,500,0.006,0.000,0.000,0.000,0.008,1.87
20,15,4,3,0.4,0.4,forced,0.2,oracle,500,0.004,0.000,0.000,0.000,0.008,3.00
20,15,4,3,0.4,0.4,forced,0.2,pa,500,0.002,0.000,0.000,0.000,0.008,1.56
20,15,4,3,0.6,0,forced,0.2,oracle,500,0.678,0.196,0.000,0.164,0.233,3.00
20,15,4,3,0.6,0,forced,0.2,pa,500,0.450,0.140,0.002,0.112,0.173,2.58
20,15,4,3,0.6,0.4,forced,0.2,oracle,500,0.452,0.112,0.000,0.087,0.143,3.00
20,15,4,3,0.6,0.4,forced,0.2,pa,500,0.142,0.042,0.000,0.028,0.063,1.87
20,15,4,3,0.8,0,forced,0.2,oracle,500,0.980,0.976,0.588,0.959,0.986,3.00
20,15,4,3,0.8,0,forced,0.2,pa,500,0.804,0.800,0.478,0.763,0.833,2.80
20,15,4,3,0.8,0.4,forced,0.2,oracle,500,0.842,0.808,0.442,0.771,0.840,3.00
20,15,4,3,0.8,0.4,forced,0.2,pa,500,0.338,0.338,0.206,0.298,0.381,2.13
20,15,4,3,0.4,0,free,0.2,oracle,500,0.008,0.000,0.000,0.000,0.008,3.00
20,15,4,3,0.4,0,free,0.2,pa,500,0.000,0.000,0.000,0.000,0.008,1.59
20,15,4,3,0.4,0.4,free,0.2,oracle,500,0.004,0.000,0.000,0.000,0.008,3.00
20,15,4,3,0.4,0.4,free,0.2,pa,500,0.000,0.000,0.000,0.000,0.008,1.40
20,15,4,3,0.6,0,free,0.2,oracle,500,0.566,0.130,0.000,0.103,0.162,3.00
20,15,4,3,0.6,0,free,0.2,pa,500,0.312,0.048,0.000,0.032,0.070,2.38
20,15,4,3,0.6,0.4,free,0.2,oracle,500,0.358,0.058,0.000,0.041,0.082,3.00
20,15,4,3,0.6,0.4,free,0.2,pa,500,0.112,0.022,0.000,0.012,0.039,1.77
20,15,4,3,0.8,0,free,0.2,oracle,500,0.960,0.936,0.252,0.911,0.954,3.00
20,15,4,3,0.8,0,free,0.2,pa,500,0.696,0.690,0.200,0.648,0.729,2.69
20,15,4,3,0.8,0.4,free,0.2,oracle,500,0.812,0.760,0.172,0.721,0.795,3.00
20,15,4,3,0.8,0.4,free,0.2,pa,500,0.246,0.244,0.062,0.208,0.284,1.98
20,18,6,3,0.4,0,forced,0,oracle,500,0.180,0.012,0.000,0.006,0.026,3.00
20,18,6,3,0.4,0,forced,0,pa,500,0.138,0.008,0.000,0.003,0.020,2.35
20,18,6,3,0.4,0.4,forced,0,oracle,500,0.164,0.018,0.000,0.009,0.034,3.00
20,18,6,3,0.4,0.4,forced,0,pa,500,0.026,0.004,0.000,0.001,0.014,1.75
20,18,6,3,0.6,0,forced,0,oracle,500,0.986,0.828,0.030,0.792,0.859,3.00
20,18,6,3,0.6,0,forced,0,pa,500,0.792,0.664,0.026,0.621,0.704,2.80
20,18,6,3,0.6,0.4,forced,0,oracle,500,0.966,0.806,0.038,0.769,0.838,3.00
20,18,6,3,0.6,0.4,forced,0,pa,500,0.338,0.282,0.024,0.244,0.323,2.15
20,18,6,3,0.8,0,forced,0,oracle,500,1.000,1.000,0.978,0.992,1.000,3.00
20,18,6,3,0.8,0,forced,0,pa,500,0.914,0.914,0.900,0.886,0.936,2.91
20,18,6,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,0.984,0.992,1.000,3.00
20,18,6,3,0.8,0.4,forced,0,pa,500,0.474,0.474,0.466,0.431,0.518,2.37
20,18,6,3,0.4,0,free,0,oracle,500,0.166,0.000,0.000,0.000,0.008,3.00
20,18,6,3,0.4,0,free,0,pa,500,0.072,0.002,0.000,0.000,0.011,2.24
20,18,6,3,0.4,0.4,free,0,oracle,500,0.132,0.004,0.000,0.001,0.014,3.00
20,18,6,3,0.4,0.4,free,0,pa,500,0.026,0.000,0.000,0.000,0.008,1.72
20,18,6,3,0.6,0,free,0,oracle,500,0.982,0.728,0.020,0.687,0.765,3.00
20,18,6,3,0.6,0,free,0,pa,500,0.656,0.488,0.012,0.444,0.532,2.66
20,18,6,3,0.6,0.4,free,0,oracle,500,0.970,0.658,0.008,0.615,0.698,3.00
20,18,6,3,0.6,0.4,free,0,pa,500,0.274,0.206,0.006,0.173,0.244,2.08
20,18,6,3,0.8,0,free,0,oracle,500,1.000,1.000,0.862,0.992,1.000,3.00
20,18,6,3,0.8,0,free,0,pa,500,0.860,0.860,0.776,0.827,0.888,2.86
20,18,6,3,0.8,0.4,free,0,oracle,500,1.000,1.000,0.884,0.992,1.000,3.00
20,18,6,3,0.8,0.4,free,0,pa,500,0.432,0.432,0.374,0.389,0.476,2.34
20,23,6,3,0.4,0,forced,0.2,oracle,500,0.088,0.004,0.000,0.001,0.014,3.00
20,23,6,3,0.4,0,forced,0.2,pa,500,0.066,0.006,0.000,0.002,0.017,2.52
20,23,6,3,0.4,0.4,forced,0.2,oracle,500,0.050,0.002,0.000,0.000,0.011,3.00
20,23,6,3,0.4,0.4,forced,0.2,pa,500,0.024,0.002,0.000,0.000,0.011,2.02
20,23,6,3,0.6,0,forced,0.2,oracle,500,0.926,0.686,0.012,0.644,0.725,3.00
20,23,6,3,0.6,0,forced,0.2,pa,500,0.698,0.546,0.014,0.502,0.589,2.74
20,23,6,3,0.6,0.4,forced,0.2,oracle,500,0.762,0.518,0.014,0.474,0.561,3.00
20,23,6,3,0.6,0.4,forced,0.2,pa,500,0.284,0.216,0.002,0.182,0.254,2.10
20,23,6,3,0.8,0,forced,0.2,oracle,500,0.992,0.992,0.940,0.980,0.997,3.00
20,23,6,3,0.8,0,forced,0.2,pa,500,0.840,0.840,0.820,0.805,0.870,2.84
20,23,6,3,0.8,0.4,forced,0.2,oracle,500,0.910,0.894,0.816,0.864,0.918,3.00
20,23,6,3,0.8,0.4,forced,0.2,pa,500,0.436,0.436,0.398,0.393,0.480,2.33
20,23,6,3,0.4,0,free,0.2,oracle,500,0.076,0.006,0.000,0.002,0.017,3.00
20,23,6,3,0.4,0,free,0.2,pa,500,0.040,0.002,0.000,0.000,0.011,2.43
20,23,6,3,0.4,0.4,free,0.2,oracle,500,0.032,0.002,0.000,0.000,0.011,3.00
20,23,6,3,0.4,0.4,free,0.2,pa,500,0.020,0.000,0.000,0.000,0.008,1.99
20,23,6,3,0.6,0,free,0.2,oracle,500,0.906,0.576,0.008,0.532,0.619,3.00
20,23,6,3,0.6,0,free,0.2,pa,500,0.660,0.420,0.004,0.378,0.464,2.72
20,23,6,3,0.6,0.4,free,0.2,oracle,500,0.684,0.388,0.000,0.346,0.431,3.00
20,23,6,3,0.6,0.4,free,0.2,pa,500,0.244,0.166,0.002,0.136,0.201,2.11
20,23,6,3,0.8,0,free,0.2,oracle,500,0.988,0.986,0.810,0.971,0.993,3.00
20,23,6,3,0.8,0,free,0.2,pa,500,0.832,0.832,0.704,0.797,0.862,2.85
20,23,6,3,0.8,0.4,free,0.2,oracle,500,0.916,0.902,0.710,0.873,0.925,3.00
20,23,6,3,0.8,0.4,free,0.2,pa,500,0.374,0.374,0.294,0.333,0.417,2.26
20,24,8,3,0.4,0,forced,0,oracle,500,0.488,0.082,0.000,0.061,0.109,3.00
20,24,8,3,0.4,0,forced,0,pa,500,0.326,0.066,0.000,0.047,0.091,2.77
20,24,8,3,0.4,0.4,forced,0,oracle,500,0.428,0.068,0.000,0.049,0.094,3.00
20,24,8,3,0.4,0.4,forced,0,pa,500,0.114,0.008,0.000,0.003,0.020,2.25
20,24,8,3,0.6,0,forced,0,oracle,500,0.998,0.966,0.240,0.946,0.979,3.00
20,24,8,3,0.6,0,forced,0,pa,500,0.886,0.848,0.230,0.814,0.877,2.92
20,24,8,3,0.6,0.4,forced,0,oracle,500,0.994,0.964,0.222,0.944,0.977,3.00
20,24,8,3,0.6,0.4,forced,0,pa,500,0.414,0.404,0.086,0.362,0.448,2.32
20,24,8,3,0.8,0,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,24,8,3,0.8,0,forced,0,pa,500,0.926,0.926,0.922,0.900,0.946,2.93
20,24,8,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,24,8,3,0.8,0.4,forced,0,pa,500,0.556,0.556,0.556,0.512,0.599,2.53
20,24,8,3,0.4,0,free,0,oracle,500,0.444,0.056,0.000,0.039,0.080,3.00
20,24,8,3,0.4,0,free,0,pa,500,0.274,0.032,0.000,0.020,0.051,2.71
20,24,8,3,0.4,0.4,free,0,oracle,500,0.364,0.018,0.000,0.009,0.034,3.00
20,24,8,3,0.4,0.4,free,0,pa,500,0.098,0.012,0.000,0.006,0.026,2.13
20,24,8,3,0.6,0,free,0,oracle,500,1.000,0.962,0.118,0.941,0.976,3.00
20,24,8,3,0.6,0,free,0,pa,500,0.806,0.776,0.090,0.737,0.810,2.82
20,24,8,3,0.6,0.4,free,0,oracle,500,0.992,0.934,0.098,0.909,0.953,3.00
20,24,8,3,0.6,0.4,free,0,pa,500,0.406,0.378,0.034,0.337,0.421,2.31
20,24,8,3,0.8,0,free,0,oracle,500,1.000,1.000,0.990,0.992,1.000,3.00
20,24,8,3,0.8,0,free,0,pa,500,0.916,0.916,0.902,0.888,0.937,2.92
20,24,8,3,0.8,0.4,free,0,oracle,500,1.000,1.000,0.982,0.992,1.000,3.00
20,24,8,3,0.8,0.4,free,0,pa,500,0.530,0.530,0.524,0.486,0.573,2.49
20,30,8,3,0.4,0,forced,0.2,oracle,500,0.336,0.044,0.000,0.029,0.066,3.00
20,30,8,3,0.4,0,forced,0.2,pa,500,0.172,0.028,0.000,0.017,0.046,2.75
20,30,8,3,0.4,0.4,forced,0.2,oracle,500,0.184,0.020,0.000,0.011,0.036,3.00
20,30,8,3,0.4,0.4,forced,0.2,pa,500,0.084,0.012,0.000,0.006,0.026,2.29
20,30,8,3,0.6,0,forced,0.2,oracle,500,0.982,0.934,0.168,0.909,0.953,3.00
20,30,8,3,0.6,0,forced,0.2,pa,500,0.768,0.732,0.138,0.692,0.769,2.79
20,30,8,3,0.6,0.4,forced,0.2,oracle,500,0.884,0.806,0.090,0.769,0.838,3.00
20,30,8,3,0.6,0.4,forced,0.2,pa,500,0.390,0.368,0.068,0.327,0.411,2.30
20,30,8,3,0.8,0,forced,0.2,oracle,500,1.000,0.998,0.994,0.989,1.000,3.00
20,30,8,3,0.8,0,forced,0.2,pa,500,0.906,0.906,0.904,0.877,0.929,2.91
20,30,8,3,0.8,0.4,forced,0.2,oracle,500,0.962,0.962,0.942,0.941,0.976,3.00
20,30,8,3,0.8,0.4,forced,0.2,pa,500,0.514,0.514,0.514,0.470,0.558,2.47
20,30,8,3,0.4,0,free,0.2,oracle,500,0.290,0.040,0.000,0.026,0.061,3.00
20,30,8,3,0.4,0,free,0.2,pa,500,0.180,0.016,0.000,0.008,0.031,3.72
20,30,8,3,0.4,0.4,free,0.2,oracle,500,0.156,0.006,0.000,0.002,0.017,3.00
20,30,8,3,0.4,0.4,free,0.2,pa,500,0.080,0.006,0.000,0.002,0.017,3.14
20,30,8,3,0.6,0,free,0.2,oracle,500,0.980,0.884,0.090,0.853,0.909,3.00
20,30,8,3,0.6,0,free,0.2,pa,500,0.810,0.728,0.076,0.687,0.765,3.00
20,30,8,3,0.6,0.4,free,0.2,oracle,500,0.844,0.714,0.056,0.673,0.752,3.00
20,30,8,3,0.6,0.4,free,0.2,pa,500,0.424,0.376,0.030,0.335,0.419,2.67
20,30,8,3,0.8,0,free,0.2,oracle,500,0.998,0.998,0.984,0.989,1.000,3.00
20,30,8,3,0.8,0,free,0.2,pa,500,0.904,0.904,0.896,0.875,0.927,2.90
20,30,8,3,0.8,0.4,free,0.2,oracle,500,0.954,0.944,0.890,0.920,0.961,3.00
20,30,8,3,0.8,0.4,free,0.2,pa,500,0.462,0.462,0.462,0.419,0.506,2.42
20,36,12,3,0.4,0,forced,0,oracle,500,0.906,0.458,0.004,0.415,0.502,3.00
20,36,12,3,0.4,0,forced,0,pa,500,0.686,0.378,0.000,0.337,0.421,3.30
20,36,12,3,0.4,0.4,forced,0,oracle,500,0.772,0.370,0.004,0.329,0.413,3.00
20,36,12,3,0.4,0.4,forced,0,pa,500,0.356,0.168,0.002,0.138,0.203,2.74
20,36,12,3,0.6,0,forced,0,oracle,500,1.000,0.998,0.748,0.989,1.000,3.00
20,36,12,3,0.6,0,forced,0,pa,500,0.928,0.928,0.724,0.902,0.948,2.94
20,36,12,3,0.6,0.4,forced,0,oracle,500,1.000,0.996,0.710,0.986,0.999,3.00
20,36,12,3,0.6,0.4,forced,0,pa,500,0.550,0.550,0.434,0.506,0.593,2.53
20,36,12,3,0.8,0,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0,forced,0,pa,500,0.968,0.968,0.968,0.949,0.980,2.97
20,36,12,3,0.8,0.4,forced,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0.4,forced,0,pa,500,0.702,0.702,0.702,0.660,0.740,2.69
20,36,12,3,0.4,0,free,0,oracle,500,0.886,0.414,0.000,0.372,0.458,3.00
20,36,12,3,0.4,0,free,0,pa,500,0.614,0.256,0.002,0.220,0.296,4.04
20,36,12,3,0.4,0.4,free,0,oracle,500,0.704,0.294,0.000,0.256,0.335,3.00
20,36,12,3,0.4,0.4,free,0,pa,500,0.348,0.144,0.000,0.116,0.177,3.97
20,36,12,3,0.6,0,free,0,oracle,500,1.000,1.000,0.650,0.992,1.000,3.00
20,36,12,3,0.6,0,free,0,pa,500,0.920,0.918,0.592,0.891,0.939,2.99
20,36,12,3,0.6,0.4,free,0,oracle,500,0.994,0.990,0.580,0.977,0.996,3.00
20,36,12,3,0.6,0.4,free,0,pa,500,0.606,0.602,0.366,0.558,0.644,2.65
20,36,12,3,0.8,0,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0,free,0,pa,500,0.972,0.972,0.972,0.954,0.983,2.97
20,36,12,3,0.8,0.4,free,0,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,36,12,3,0.8,0.4,free,0,pa,500,0.714,0.714,0.714,0.673,0.752,2.70
20,45,12,3,0.4,0,forced,0.2,oracle,500,0.768,0.324,0.000,0.284,0.366,3.00
20,45,12,3,0.4,0,forced,0.2,pa,500,0.514,0.202,0.000,0.169,0.239,5.72
20,45,12,3,0.4,0.4,forced,0.2,oracle,500,0.484,0.166,0.000,0.136,0.201,3.00
20,45,12,3,0.4,0.4,forced,0.2,pa,500,0.298,0.100,0.000,0.077,0.129,5.08
20,45,12,3,0.6,0,forced,0.2,oracle,500,0.990,0.988,0.684,0.974,0.994,3.00
20,45,12,3,0.6,0,forced,0.2,pa,500,0.904,0.902,0.658,0.873,0.925,3.06
20,45,12,3,0.6,0.4,forced,0.2,oracle,500,0.934,0.920,0.532,0.893,0.941,3.00
20,45,12,3,0.6,0.4,forced,0.2,pa,500,0.578,0.574,0.416,0.530,0.617,2.66
20,45,12,3,0.8,0,forced,0.2,oracle,500,0.992,0.990,0.986,0.977,0.996,3.00
20,45,12,3,0.8,0,forced,0.2,pa,500,0.976,0.974,0.970,0.956,0.985,2.98
20,45,12,3,0.8,0.4,forced,0.2,oracle,500,0.964,0.962,0.952,0.941,0.976,3.00
20,45,12,3,0.8,0.4,forced,0.2,pa,500,0.670,0.670,0.670,0.628,0.710,2.66
20,45,12,3,0.4,0,free,0.2,oracle,500,0.726,0.268,0.000,0.231,0.308,3.00
20,45,12,3,0.4,0,free,0.2,pa,500,0.488,0.174,0.000,0.143,0.210,4.18
20,45,12,3,0.4,0.4,free,0.2,oracle,500,0.470,0.138,0.000,0.111,0.171,3.00
20,45,12,3,0.4,0.4,free,0.2,pa,500,0.222,0.064,0.002,0.046,0.089,3.68
20,45,12,3,0.6,0,free,0.2,oracle,500,0.986,0.978,0.484,0.961,0.988,3.00
20,45,12,3,0.6,0,free,0.2,pa,500,0.876,0.876,0.470,0.844,0.902,2.94
20,45,12,3,0.6,0.4,free,0.2,oracle,500,0.926,0.900,0.420,0.871,0.923,3.00
20,45,12,3,0.6,0.4,free,0.2,pa,500,0.474,0.462,0.230,0.419,0.506,2.57
20,45,12,3,0.8,0,free,0.2,oracle,500,1.000,1.000,1.000,0.992,1.000,3.00
20,45,12,3,0.8,0,free,0.2,pa,500,0.946,0.944,0.942,0.920,0.961,2.95
20,45,12,3,0.8,0.4,free,0.2,oracle,500,0.968,0.966,0.956,0.946,0.979,3.00
